J1,J2,J3,J4
1.893035014614676825e-01,0.000000000000000000e+00,7.020457927938382747e-01,1.734426487829845154e-01
2.635404469163311614e-01,0.000000000000000000e+00,2.571634968271067079e-01,1.819916496903365155e-01
2.062715008076525525e-01,8.058229335593964163e-03,6.280932871235326287e-01,2.021432538224630093e-01
2.864336704812473489e-01,1.913127905595307654e-03,3.950136243873990649e-01,1.739547009442785896e-01
1.893035014614676825e-01,0.000000000000000000e+00,7.020457927938382747e-01,1.734426487829845154e-01
2.677265540880544581e-01,0.000000000000000000e+00,6.934732039165606432e-01,1.716897857065063648e-01
1.205958816582834991e-01,5.345333906796057369e-03,8.191510489295055208e-01,1.610428153976855015e-01
1.722094963815867796e-01,2.415191870408635311e-02,7.035290383626582322e-01,1.705706977333559249e-01
1.871619697081214895e-01,0.000000000000000000e+00,8.681021257974823602e-01,1.689739735860704140e-01
3.035012808874805179e-01,0.000000000000000000e+00,4.953669057948283938e-01,2.544642770257430908e-01
